,fpr,tpr,thresholds
86,0.0,0.8071705426356589,46.0
87,0.0,0.8556201550387597,45.0
88,0.0,0.8943798449612403,44.0
89,0.0,0.9292635658914729,43.0
90,0.0,0.9437984496124031,42.0
91,0.0,0.9563953488372093,41.0
92,0.0,0.9670542635658915,40.0
93,0.0,0.9786821705426356,38.0
94,0.0,0.9815891472868217,37.0
95,0.0,0.9912790697674418,35.0
96,0.0,0.9932170542635659,32.0
97,0.0,0.997093023255814,30.0
98,0.0001937984496124031,0.997093023255814,29.0
99,0.0003875968992248062,0.998062015503876,28.0
100,0.0003875968992248062,0.999031007751938,26.0
101,0.0009689922480620155,1.0,25.0
102,0.002325581395348837,1.0,24.0
103,0.004457364341085271,1.0,23.0
104,0.006007751937984496,1.0,22.0
105,0.009108527131782946,1.0,21.0
106,0.01124031007751938,1.0,20.0
107,0.014147286821705426,1.0,19.0
108,0.018798449612403102,1.0,18.0
109,0.023837209302325583,1.0,17.0
110,0.029844961240310077,1.0,16.0
111,0.03817829457364341,1.0,15.0
112,0.04961240310077519,1.0,14.0
113,0.057945736434108525,1.0,13.0
114,0.06996124031007751,1.0,12.0
115,0.08352713178294574,1.0,11.0
116,0.09767441860465116,1.0,10.0
117,0.11569767441860465,1.0,9.0
118,0.1374031007751938,1.0,8.0
119,0.16143410852713178,1.0,7.0
120,0.18527131782945735,1.0,6.0
121,0.2114341085271318,1.0,5.0
122,0.2391472868217054,1.0,4.0
123,0.2693798449612403,1.0,3.0
124,0.29534883720930233,1.0,2.0
125,0.32112403100775194,1.0,1.0
126,0.3496124031007752,1.0,0.0
127,0.37306201550387597,1.0,-1.0
128,0.39961240310077517,1.0,-2.0
129,0.4207364341085271,1.0,-3.0
130,0.44127906976744186,1.0,-4.0
131,0.46569767441860466,1.0,-5.0
132,0.4920542635658915,1.0,-6.0
133,0.514922480620155,1.0,-7.0
134,0.5405038759689923,1.0,-8.0
135,0.5656976744186046,1.0,-9.0
136,0.5976744186046512,1.0,-10.0
137,0.6273255813953489,1.0,-11.0
138,0.6505813953488372,1.0,-12.0
139,0.672093023255814,1.0,-13.0
140,0.7011627906976744,1.0,-14.0
141,0.7323643410852713,1.0,-15.0
142,0.7703488372093024,1.0,-16.0
143,0.8220930232558139,1.0,-17.0
144,0.8680232558139535,1.0,-18.0
145,0.9021317829457365,1.0,-19.0
146,0.9263565891472868,1.0,-20.0
147,0.9443798449612403,1.0,-21.0
148,0.9637596899224806,1.0,-22.0
149,0.9877906976744186,1.0,-24.0
150,0.9924418604651163,1.0,-25.0
151,0.9972868217054264,1.0,-26.0
152,0.9988372093023256,1.0,-27.0
153,0.9998062015503876,1.0,-28.0
154,1.0,1.0,-29.0
155,0.0,0.0,inf
156,0.0,0.001937984496124031,69.0
157,0.0,0.0048449612403100775,68.0
158,0.0,0.00872093023255814,66.0
159,0.0,0.012596899224806201,65.0
160,0.0,0.016472868217054265,63.0
161,0.0,0.030038759689922482,61.0
162,0.0,0.044573643410852716,60.0
163,0.0,0.0562015503875969,59.0
164,0.0,0.07267441860465117,58.0
165,0.0,0.08527131782945736,57.0
166,0.0,0.10562015503875968,56.0
167,0.0,0.13372093023255813,55.0
168,0.0,0.1686046511627907,54.0
169,0.0,0.20930232558139536,53.0
170,0.0,0.3372093023255814,51.0
171,0.0,0.4118217054263566,50.0
172,0.0,0.4874031007751938,49.0
173,0.0,0.564922480620155,48.0
174,0.0,0.6550387596899225,47.0
175,0.0,0.7131782945736435,46.0
176,0.0,0.7558139534883721,45.0
177,0.0,0.8081395348837209,44.0
178,0.0,0.8449612403100775,43.0
179,0.0,0.8856589147286822,42.0
180,0.0,0.9321705426356589,40.0
181,0.0,0.9476744186046512,39.0
182,0.0,0.9612403100775194,38.0
183,0.0,0.9738372093023255,37.0
184,0.0,0.9786821705426356,36.0
185,0.0,0.9941860465116279,32.0
186,0.0,0.9961240310077519,31.0
187,0.0,0.997093023255814,30.0
188,0.0,1.0,29.0
189,0.0011627906976744186,1.0,12.0
190,0.0013565891472868217,1.0,11.0
191,0.0029069767441860465,1.0,10.0
192,0.00562015503875969,1.0,9.0
193,0.007558139534883721,1.0,8.0
194,0.010077519379844961,1.0,7.0
195,0.01375968992248062,1.0,6.0
196,0.018992248062015504,1.0,5.0
197,0.025968992248062015,1.0,4.0
198,0.034108527131782945,1.0,3.0
199,0.047674418604651166,1.0,2.0
200,0.06375968992248061,1.0,1.0
201,0.08372093023255814,1.0,0.0
202,0.1065891472868217,1.0,-1.0
203,0.12325581395348838,1.0,-2.0
204,0.14806201550387596,1.0,-3.0
205,0.17655038759689923,1.0,-4.0
206,0.20775193798449612,1.0,-5.0
207,0.23837209302325582,1.0,-6.0
208,0.2800387596899225,1.0,-7.0
209,0.33468992248062013,1.0,-8.0
210,0.3901162790697674,1.0,-9.0
211,0.4387596899224806,1.0,-10.0
212,0.4796511627906977,1.0,-11.0
213,0.5304263565891473,1.0,-12.0
214,0.5781007751937984,1.0,-13.0
215,0.626937984496124,1.0,-14.0
216,0.6726744186046512,1.0,-15.0
217,0.7131782945736435,1.0,-16.0
218,0.7573643410852713,1.0,-17.0
219,0.8085271317829458,1.0,-18.0
220,0.8589147286821706,1.0,-19.0
221,0.9029069767441861,1.0,-20.0
222,0.9439922480620155,1.0,-21.0
223,0.9711240310077519,1.0,-22.0
224,0.9858527131782946,1.0,-23.0
225,0.9926356589147287,1.0,-24.0
226,0.9978682170542635,1.0,-25.0
227,0.999031007751938,1.0,-26.0
228,0.9998062015503876,1.0,-27.0
229,1.0,1.0,-28.0
230,0.0,0.0,inf
231,0.0,0.0009689922480620155,66.0
232,0.0,0.001937984496124031,65.0
233,0.0,0.0048449612403100775,64.0
234,0.0,0.013565891472868217,63.0
235,0.0,0.02810077519379845,62.0
236,0.0,0.05232558139534884,61.0
237,0.0,0.06782945736434108,60.0
238,0.0,0.08527131782945736,59.0
239,0.0,0.09689922480620156,58.0
240,0.0,0.11046511627906977,57.0
241,0.0,0.17635658914728683,53.0
242,0.0,0.21027131782945738,52.0
243,0.0,0.2364341085271318,51.0
244,0.0,0.2693798449612403,50.0
245,0.0,0.3246124031007752,49.0
246,0.0,0.37693798449612403,48.0
247,0.0,0.45058139534883723,47.0
248,0.0,0.5125968992248062,46.0
249,0.0,0.562015503875969,45.0
250,0.0,0.625,44.0
251,0.0,0.6831395348837209,43.0
252,0.0,0.7306201550387597,42.0
253,0.0,0.7829457364341085,41.0
254,0.0,0.8246124031007752,40.0
255,0.0,0.8643410852713178,39.0
256,0.0,0.8953488372093024,38.0
257,0.0,0.9195736434108527,37.0
258,0.0,0.937015503875969,36.0
259,0.0,0.9496124031007752,35.0
260,0.0,0.9660852713178295,34.0
261,0.0,0.9777131782945736,33.0
262,0.0,0.9835271317829457,32.0
263,0.0001937984496124031,0.9903100775193798,31.0
264,0.0003875968992248062,0.9932170542635659,30.0
265,0.0009689922480620155,0.999031007751938,29.0
266,0.0015503875968992248,1.0,27.0
267,0.0017441860465116279,1.0,25.0
268,0.002131782945736434,1.0,24.0
269,0.004457364341085271,1.0,22.0
270,0.005813953488372093,1.0,21.0
271,0.009302325581395349,1.0,19.0
272,0.012015503875968992,1.0,18.0
273,0.02248062015503876,1.0,16.0
274,0.02945736434108527,1.0,15.0
275,0.037209302325581395,1.0,14.0
276,0.044186046511627906,1.0,13.0
277,0.05251937984496124,1.0,12.0
278,0.06162790697674419,1.0,11.0
279,0.07189922480620155,1.0,10.0
280,0.08507751937984497,1.0,9.0
281,0.09883720930232558,1.0,8.0
282,0.1124031007751938,1.0,7.0
283,0.12732558139534883,1.0,6.0
284,0.14748062015503877,1.0,5.0
285,0.16395348837209303,1.0,4.0
286,0.18410852713178294,1.0,3.0
287,0.20387596899224805,1.0,2.0
288,0.2255813953488372,1.0,1.0
289,0.24844961240310076,1.0,0.0
290,0.27054263565891473,1.0,-1.0
291,0.29689922480620157,1.0,-2.0
292,0.33178294573643413,1.0,-3.0
293,0.37209302325581395,1.0,-4.0
294,0.4174418604651163,1.0,-5.0
295,0.4746124031007752,1.0,-6.0
296,0.5358527131782945,1.0,-7.0
297,0.6048449612403101,1.0,-8.0
298,0.6705426356589147,1.0,-9.0
299,0.7257751937984496,1.0,-10.0
300,0.7823643410852713,1.0,-11.0
301,0.8333333333333334,1.0,-12.0
302,0.8788759689922481,1.0,-13.0
303,0.913953488372093,1.0,-14.0
304,0.943217054263566,1.0,-15.0
305,0.9625968992248062,1.0,-16.0
306,0.9757751937984496,1.0,-17.0
307,0.9874031007751938,1.0,-18.0
308,0.993798449612403,1.0,-19.0
309,0.9982558139534884,1.0,-20.0
310,0.9998062015503876,1.0,-21.0
311,1.0,1.0,-22.0
312,0.0,0.0,inf
313,0.0,0.003875968992248062,74.0
314,0.0,0.006782945736434108,73.0
315,0.0,0.00872093023255814,72.0
316,0.0,0.013565891472868217,71.0
317,0.0,0.03488372093023256,69.0
318,0.0,0.050387596899224806,68.0
319,0.0,0.06782945736434108,67.0
320,0.0,0.09108527131782945,65.0
321,0.0,0.13565891472868216,63.0
322,0.0,0.15310077519379844,62.0
323,0.0,0.1744186046511628,61.0
324,0.0,0.1937984496124031,60.0
325,0.0,0.20833333333333334,59.0
326,0.0,0.2238372093023256,58.0
327,0.0,0.24612403100775193,57.0
